Source:,Muons_SIPM_V2,,,,,,Commentaires
,,,,,,,
Date:,19/03/2023 14:07:50,,,,,,
,,,,,,,
Tool:,Eeschema 7.0.1,,,,,,
,,,,,,,
Generator:,P:\PCB\KiCad60\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py,,,,,,
,,,,,,,
Component Count:,140,,,,,,
,,,,,,,
Ref,Qnty,Value,Cmp name,Footprint,Description,Vendor,
,,,,,,,
"B1, ",1,Blindage,Blindage_29.5,COMPOSANT_CF:Blindage_29.5,Blindage 29.5v,,
,,,,,,,
"C1, C3, C5, C7, C8, C11, C14, ",7,0.1µF,C_Small,COMPOSANT_CF:C_0805_Muons,"Unpolarized capacitor, small symbol",,
,,,,,,,
"C2, C9, C24, ",3,1µF,C_Small,COMPOSANT_CF:C_0805_Muons,"Unpolarized capacitor, small symbol",,
,,,,,,,
"C4, ",1,22pF,C_Small,COMPOSANT_CF:C_0805_Muons,"Unpolarized capacitor, small symbol",,
,,,,,,,
"C6, ",1,0.47µF,C_Small,COMPOSANT_CF:C_0805_Muons,"Unpolarized capacitor, small symbol",,
,,,,,,,
"C10, C15, C17, C19, C20, C21, C22, ",7,10µF,C_Small,COMPOSANT_CF:C_0805_Muons,"Unpolarized capacitor, small symbol",,
,,,,,,,
"C12, ",1,10pF,C_Small,COMPOSANT_CF:C_0805_Muons,"Unpolarized capacitor, small symbol",,
,,,,,,,
"C13, ",1,20nF,C_Small,COMPOSANT_CF:C_0805_Muons,"Unpolarized capacitor, small symbol",,
,,,,,,,
"C16, C18, C23, C25, C26, ",5,100nF,C_Small,COMPOSANT_CF:C_0805_Muons,"Unpolarized capacitor, small symbol",,
,,,,,,,
"Cn1, ",1,GND,TestPoint,COMPOSANT_CF:TestPoint_THTPad_4.75x3.7mm_Drill1.5mm,test point,,
,,,,,,,
"D1, D2, D3, ",3,D_Schottky,D_Schottky,Diode_SMD:D_SOD-123,Schottky diode,,
,,,,,,,
"D4, D5, D6, ",3,MDB301,MDB301,Package_TO_SOT_SMD:SOT-23,"30V 0.1A Small signal Schottky diode, SOT-23",,
,,,,,,,
"H1, H2, ",2,SiMP,MountingHole_Pad,MountingHole:MountingHole_2.2mm_M2_DIN965_Pad_TopBottom,Mounting Hole with connection,,
,,,,,,,
"H3, H4, H5, H6, ",4,Board_SiMP,MountingHole_Pad,MountingHole:MountingHole_2.2mm_M2_DIN965_Pad_TopBottom,Mounting Hole with connection,,
,,,,,,,
"H7, H8, H9, H13, H14, ",5,ESP,MountingHole_Pad,MountingHole:MountingHole_2.2mm_M2_DIN965_Pad_TopBottom,Mounting Hole with connection,,
,,,,,,,
"H10, H11, H12, ",3,RTC,MountingHole_Pad,MountingHole:MountingHole_2.2mm_M2_DIN965_Pad_TopBottom,Mounting Hole with connection,,
,,,,,,,
"IC1, ",1,BMP280_AZ,BMP280_AZ,COMPOSANT_CF:BMP280_AZ,Pressure Sensor Development Tools Barometric Pressure & Altitude Sensor,,
,,,,,,,
"J1, ",1,WM17457-ND,Conn_02x03_Odd_Even,Connector_PinSocket_2.54mm:PinSocket_2x03_P2.54mm_Vertical,"Generic connector, double row, 02x03, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",,
,,,,,,,
"J2, J4, ",2,221790-1,221790-1_1,COMPOSANT_CF:TE_221790-1,,,
,,,,,,,
"J3, ",1,DB9 F Chassi,DE9_Receptacle,Connector_Dsub:DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm,"9-pin female receptacle socket D-SUB connector, Mounting Hole",,
,,,,,,,
"J5, ",1,Conn_01x07_Socket,Conn_01x07_Socket,Connector_Molex:Molex_KK-254_AE-6410-07A_1x07_P2.54mm_Vertical,"Generic connector, single row, 01x07, script generated",,
,,,,,,,
"J6, ",1,Conn_01x06_Socket,Conn_01x06_Socket,Connector_Molex:Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical,"Generic connector, single row, 01x06, script generated",,
,,,,,,,
"J7, ",1,Conn_01x08_Socket,Conn_01x08_Socket,Connector_Molex:Molex_KK-254_AE-6410-08A_1x08_P2.54mm_Vertical,"Generic connector, single row, 01x08, script generated",,
,,,,,,,
"J8, ",1,Depuis le board SIPM,Conn_01x08_Socket,Connector_Molex:Molex_KK-254_AE-6410-08A_1x08_P2.54mm_Vertical,"Generic connector, single row, 01x08, script generated",,
,,,,,,,
"J9, ",1,Depuis le board SIPM,Conn_01x03_Socket,Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,"Generic connector, single row, 01x03, script generated",,
,,,,,,,
"J10, ",1,Vers Pcb GPS,Conn_01x06_Socket,Connector_Molex:Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical,"Generic connector, single row, 01x06, script generated",,
,,,,,,,
"J11, ",1,Vers Pcb Gps,Conn_01x07_Socket,Connector_Molex:Molex_KK-254_AE-6410-07A_1x07_P2.54mm_Vertical,"Generic connector, single row, 01x07, script generated",,
,,,,,,,
"J12, ",1,Conn_01x08_Socket,Conn_01x08_Socket,Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical,"Generic connector, single row, 01x08, script generated",,
,,,,,,,
"J13, ",1,Conn_01x08_Socket,Conn_01x08_Socket,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,"Generic connector, single row, 01x08, script generated",,
,,,,,,,
"J14, ",1,Oled,Conn_01x04_Socket,COMPOSANT_CF:OLED_PCB,"Generic connector, single row, 01x04, script generated",,
,,,,,,,
"J15, ",1,Micro_SD_Card,Micro_SD_Card,COMPOSANT_CF:SD-CARD_AZ,Micro SD Card Socket,,
,,,,,,,
"K1, ",1,G3VM-21GR1,G3VM-21GR1,COMPOSANT_CF:G3VM-21GR1,,,
,,,,,,,
"K2, ",1,G3VM-41DY,G3VM-41DY,COMPOSANT_CF:RELAY_G3VM-41DY,,,
,,,,,,,
"K3, ",1,G3VM-81UR,G3VM-81UR,COMPOSANT_CF:G3VM-81UR,,,
,,,,,,,
"L1, ",1,Ferrite Bead,L,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Inductor,,
,,,,,,,
"L2, ",1,47ÂµH,L,Resistor_SMD:R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,Inductor,,
,,,,,,,
"Led1, ",1,Double Led,Double_Led,COMPOSANT_CF:Double_Led,"Buzzer, polarized",,
,,,,,,,
"M1, ",1,DS3231,DS3231,COMPOSANT_CF:REG_DS3231_2023,,,
,,,,,,,
"M2, ",1,ESP_WROOM_32_38b,ESP_WROOM_32,COMPOSANT_CF:MODULE_ESP32-DEVKITC,,,
,,,,,,,
"Q1, ",1,BMBT3904,PMBT3904,Package_TO_SOT_SMD:SOT-323_SC-70,"0.8A Ic, 45V Vce, NPN Transistor, SOT-323",,
,,,,,,,
"Q2, ",1,BSS138,BSS138,Package_TO_SOT_SMD:SOT-23,"50V Vds, 0.22A Id, N-Channel MOSFET, SOT-23",,
,,,,,,,
"R1, R6, R10, R13, R14, R16, R17, R18, R19, R20, R21, ",11,10k,R_Small,COMPOSANT_CF:R_0805_Muons,"Resistor, small symbol",,
,,,,,,,
"R2, ",1,226k,R_Small,COMPOSANT_CF:R_0805_Muons,"Resistor, small symbol",,
,,,,,,,
"R3, R4, R8, R9, R12, R15, R23, R24, R26, R27, ",10,1k,R,COMPOSANT_CF:R_0805_Muons,Resistor,,
,,,,,,,
"R5, ",1,7.5k,R_Small,COMPOSANT_CF:R_0805_Muons,"Resistor, small symbol",,
,,,,,,,
"R7, R22, R29, R30, R31, ",5,100k,R,COMPOSANT_CF:R_0805_Muons,Resistor,,
,,,,,,,
"R11, ",1,4.7M,R_Small,COMPOSANT_CF:R_0805_Muons,"Resistor, small symbol",,
,,,,,,,
"R25, ",1,3.3k,R,COMPOSANT_CF:R_0805_Muons,Resistor,,
,,,,,,,
"R28, ",1,4.7k,R,COMPOSANT_CF:R_0805_Muons,Resistor,,
,,,,,,,
"R32, ",1,360,R_Small,COMPOSANT_CF:R_0805_Muons,"Resistor, small symbol",,
,,,,,,,
"R33, R34, ",2,0,R,COMPOSANT_CF:R_Shunt_0805_Muons,Resistor,,
,,,,,,,
"R35, R36, R37, R38, ",4,47k,R,COMPOSANT_CF:R_0805_Muons,Resistor,,
,,,,,,,
"R39, R40, ",2,330,R_Small,COMPOSANT_CF:R_0805_Muons,"Resistor, small symbol",,
,,,,,,,
"RV1, RV2, ",2,4.7k,R_Potentiometer_Trim,Potentiometer_THT:Potentiometer_Bourns_3005_Horizontal,Trim-potentiometer,,
,,,,,,,
"RV3, RV4, ",2,5k,R_Potentiometer_Trim,Potentiometer_SMD:Potentiometer_Bourns_3314G_Vertical,Trim-potentiometer,,
,,,,,,,
"SW1, ",1,Ajust_Time,SW_MEC_5G,Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx83-2LFS,MEC 5G single pole normally-open tactile switch,,
,,,,,,,
"SW2, ",1,SW_Coded_SH-7010,SW_Coded_SH-7010,COMPOSANT_CF:Nidec_Copal_SC-1110,"Rotary switch, 4-bit encoding, 10 positions, Real code",,
,,,,,,,
"TP1, TP2, ",2,s1,TestPoint,COMPOSANT_CF:TestPoint_THTPad_4.75x3.7mm_Drill1.5mm,test point,,
,,,,,,,
"TP3, ",1,GND3,TestPoint,COMPOSANT_CF:TestPoint_THTPad_4.75x3.7mm_Drill1.5mm,test point,,
,,,,,,,
"TP4, TP5, TP6, TP7, ",4,GND1,TestPoint,COMPOSANT_CF:TestPoint_THTPad_4.75x3.7mm_Drill1.5mm,test point,,
,,,,,,,
"TP8, ",1,GND2,TestPoint,COMPOSANT_CF:TestPoint_THTPad_4.75x3.7mm_Drill1.5mm,test point,,
,,,,,,,
"U1, ",1,LT3461,LT3461,Package_TO_SOT_SMD:TSOT-23-6,"1.2MHz White LED Drivers with Built-in Schottky, ThinSOT-23-6",,
,,,,,,,
"U2, ",1,AD823A,AD823A,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,"Dual Operational Amplifiers, DIP-8/SOIC-8/TSSOP-8/VSSOP-8",,
,,,,,,,
"U3, U4, ",2,LT1806,LT1806,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,"Ultra-Low Offset/Drift, Low-Noise, Precision Amplifiers, SOIC-8",,
,,,,,,,
"U5, ",1,DS18B20,DS18B20,Package_TO_SOT_THT:TO-92_Inline,Programmable Resolution 1-Wire Digital Thermometer TO-92,,
,,,,,,,
"U6, ",1,NEO-M8N,NEO-M8N,MODULE_CF:GPS_NEO8,"GNSS Module NEO M8, VCC 2.7V to 3.6V",,
,,,,,,,
"U7, ",1,LM311,LM311,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,"Voltage Comparator, DIP-8/SOIC-8",,
,,,,,,,
"U8, ",1,MAX988EUK+,MAX988EUK+,COMPOSANT_CF:SOT95P280X145-5N,,,
,,,,,,,
"U9, ",1,GT1167,GT1167,COMPOSANT_CF:DIP-12_Convertisseur,Convertisseur de niveau logic 2 canaux 3v3 5v,,
,,,,,,,
"U10, ",1,ADC_Breakout_ADS1015,ADC_Breakout_ADS1115,MODULE_CF:ADS1115_Small_BreakBord,,,
,,,,,,,
"U11, ",1,G3VM-101DR1,G3VM-101DR1(TR05),COMPOSANT_CF:G3VM-21GR1,,,
,,,,,,,
"U12, ",1,Regul3.3v,Regul3.3v,COMPOSANT_CF:Regulateur,"1A Low Dropout regulator, positive, adjustable output, TO-252",,
